Model,Preprocessing,Sampling_Weighting,Recall,Precision,F1,PR_AUC,ROC_AUC,False_Positives,False_Negatives,CV_PR_AUC_mean,CV_PR_AUC_std,CV_Recall_mean,CV_Recall_std
Baseline_LogisticRegression,median_impute+variance_threshold+scale,none,0.14285714285714285,0.2727272727272727,0.1875,0.12945088078419772,0.6395254347472776,8,18,0.16062895130477192,0.06566050441602439,0.11985294117647058,0.08484924551030386
RandomForest_SMOTE,median_impute+variance_threshold,SMOTE (train fold only),0.047619047619047616,0.16666666666666666,0.07407407407407407,0.23079269233412836,0.8291890134893547,5,20,0.21242322292252958,0.04570376232594224,0.10808823529411764,0.043723731609760313
RandomForest_ClassWeight,median_impute+variance_threshold,class_weight=balanced,0.0,0.0,0.0,0.2199226176783865,0.7849829351535835,1,21,0.21433983076291324,0.06534746454646244,0.0,0.0
XGBoost_ScalePosWeight,"variance_threshold_only (native missing handling, no imputation)",scale_pos_weight (from train class ratio),0.0,0.0,0.0,0.18850520714090854,0.6913700633837152,3,21,0.20149932771107126,0.05182012346970364,0.04852941176470588,0.04641098187664559
