feature_name,importance,rank
feature_059,0.015656316341427064,1
feature_247,0.011477014587712789,2
feature_487,0.011308325779794084,3
feature_112,0.009245549716924192,4
feature_385,0.006388862461110803,5
feature_425,0.005917396498820235,6
feature_486,0.0058595815298656175,7
feature_028,0.005459746058894191,8
feature_019,0.004763062013565583,9
feature_021,0.004024547438104281,10
feature_040,0.003658797754261198,11
feature_480,0.003375044018804957,12
feature_160,0.0030097972684299283,13
feature_017,0.002933429663599518,14
feature_510,0.0028145241697473374,15
feature_519,0.0027861095628935574,16
feature_152,0.002782683631217214,17
feature_563,0.0027530712318734525,18
feature_130,0.0027412862923596737,19
feature_460,0.002721050387182142,20
feature_202,0.002616682052710609,21
feature_430,0.0025432045972982654,22
feature_123,0.002528876282060055,23
feature_469,0.002473509010517161,24
feature_468,0.0024081941641302756,25
feature_290,0.0022545361083225524,26
feature_280,0.0022188841008923183,27
feature_167,0.0021805324125689445,28
feature_225,0.0021312302165362148,29
feature_344,0.0021198755680998686,30
feature_406,0.0021193315092968763,31
feature_117,0.0020979377451694065,32
feature_389,0.0020846452128033045,33
feature_091,0.0020334448447137223,34
feature_124,0.00195664319111348,35
feature_302,0.001771965060429248,36
feature_459,0.0016637256958852375,37
feature_219,0.0016594614362559546,38
feature_072,0.0016389078935582946,39
feature_338,0.0015940264843904623,40
feature_058,0.0015614925336733642,41
feature_562,0.0015576538953431418,42
feature_416,0.0014643746321205604,43
feature_162,0.0014459709857265717,44
feature_087,0.0014322942176475477,45
feature_033,0.0014265610118209594,46
feature_127,0.001410982218933185,47
feature_056,0.0013412021116685018,48
feature_523,0.0013143460632266402,49
feature_295,0.0013097980059351062,50
feature_135,0.0012975134939476524,51
feature_431,0.001236320370018279,52
feature_212,0.00123226560030672,53
feature_079,0.0012302316567248451,54
feature_032,0.0012256816587731313,55
feature_334,0.001205989461648438,56
feature_294,0.001205573791978723,57
feature_540,0.0012045514351943427,58
feature_065,0.0011639859900809345,59
feature_287,0.0011623916965778774,60
feature_131,0.0011608953334797307,61
feature_489,0.0011465473492234869,62
feature_407,0.0011192702350157457,63
feature_429,0.0011089880980994892,64
feature_176,0.0010915126243399825,65
feature_479,0.0010758553735358612,66
feature_474,0.0010693635996918056,67
feature_147,0.0010209589742586982,68
feature_454,0.0010084901146520913,69
feature_350,0.0009454698591677219,70
feature_172,0.0009441089783262218,71
feature_445,0.0009137651941462904,72
feature_210,0.0009066745047145274,73
feature_026,0.0009024699192820618,74
feature_208,0.0008975600865392841,75
feature_491,0.0008946616664911977,76
feature_092,0.0008944807902222796,77
feature_022,0.0008915270803115688,78
feature_405,0.0008699213869547389,79
feature_291,0.000864155216895282,80
feature_475,0.0008477088305307468,81
feature_548,0.0008459824688437423,82
feature_102,0.0008414331204944864,83
feature_090,0.0008311850410653021,84
feature_573,0.0008288406237806107,85
feature_558,0.000827798980800934,86
feature_043,0.0008162261532995568,87
feature_274,0.0008005147229033699,88
feature_522,0.0007853458501371813,89
feature_324,0.0007833698756470858,90
feature_589,0.0007808832398340154,91
feature_308,0.0007599512039001305,92
feature_201,0.0007528230306402539,93
feature_035,0.0007525226832582499,94
feature_165,0.0007425025942261077,95
feature_559,0.0007236981247733143,96
feature_140,0.0007183103675792113,97
feature_547,0.0007162132689743028,98
feature_119,0.0006989949843296123,99
feature_438,0.0006893031353463503,100
feature_044,0.0006876550665640413,101
feature_567,0.0006849128392394626,102
feature_426,0.0006797939642375767,103
feature_086,0.0006741613325296714,104
feature_250,0.0006563450900714474,105
feature_309,0.0006557277499828068,106
feature_187,0.0006462356620358434,107
feature_311,0.0006305201868633675,108
feature_319,0.0006236559622318505,109
feature_552,0.0006210383215995402,110
feature_275,0.0006201983302427105,111
feature_129,0.0006047406049943804,112
feature_301,0.000596599263244077,113
feature_036,0.0005940676541691198,114
feature_409,0.0005795851479995035,115
feature_137,0.0005774112132536036,116
feature_349,0.0005715909698033039,117
feature_132,0.0005626616480854552,118
feature_128,0.0005619970265577257,119
feature_471,0.0005534657770996487,120
feature_437,0.0005456180751795186,121
feature_428,0.0005393844550659416,122
feature_575,0.0005357750416314893,123
feature_195,0.0005293275729729985,124
feature_115,0.0005225015034289765,125
feature_359,0.000518706716415257,126
feature_122,0.0005117190112532671,127
feature_340,0.0005101553015145505,128
feature_545,0.000506939124334782,129
feature_288,0.000503014723666767,130
feature_525,0.0004981505744450637,131
feature_418,0.0004945934874298258,132
feature_148,0.0004910859471081358,133
feature_156,0.0004859046590279248,134
feature_171,0.0004845838234555866,135
feature_571,0.00048367330964519116,136
feature_121,0.0004782861193498855,137
feature_182,0.00047344940028271054,138
feature_588,0.0004732465335627545,139
